word,vocab_rank,semantic_rank,zone,pc1,pc2
ลอกเลียนแบบ,15566,45985,red,-0.13404017059528087,-0.09926550358411786
ลูกหนี้,15567,7354,red,-0.0949816529165944,-0.18740442656584172
วันฉลอง,15568,10840,red,-0.1760931403961962,0.001225416533389062
สาต,15569,26725,red,-0.06922239049734451,0.10830133669185503
สาละ,15570,1667,red,-0.10866727350814248,0.009642558282640021
สุคนธ์,15571,29544,red,-0.10125338374018532,-0.058000651488477224
หน่วยกิต,15572,36226,red,-0.08491216397031373,-0.11349229105546764
หมอชิต,15573,1151,yellow,-0.057502151462443404,-0.044174596739619536
อิเหนา,15574,13633,red,-0.09160578625058823,-0.03206242084268512
เครื่องบรรณาการ,15575,13570,red,-0.12482362850925262,-0.11337829244290187
เสียเงิน,15576,37019,red,-0.11009805862416594,-0.1593407758084999
เสื่อ,15577,41126,red,-0.09778050707179543,-0.0013699493788106743
เส็ง,15578,39443,red,-0.016449809508230558,0.1398695319508268
แทนคุณ,15579,30317,red,-0.09703893116498481,-0.04099891834609236
แปซิฟิค,15580,11624,red,-0.04980876228365648,0.08532540982204453
แฟล,15581,27144,red,-0.0993386842316201,0.13384680422134781
ไฮโซ,15582,29497,red,-0.06648093918722167,-0.07672423853294792
กะหล่ำปลี,15583,18892,red,-0.02556942453403161,0.05976379158062012
กุสท์,15584,22759,red,-0.04758128429646809,0.1431421758465702
คำประพันธ์,15585,11312,red,-0.13479290119298531,-0.13054827382397616
ค่าสูงสุด,15586,1335,yellow,-0.17249808395432417,-0.1611328445263751
งวด,15587,6950,red,-0.118299735617984,-0.13090125198318847
งัด,15588,22425,red,-0.13860899924820347,-0.04200130392262773
จ่อ,15589,12834,red,-0.0702052104889712,0.06040183615280384
ฉาบปูน,15590,11586,red,-0.17464431702882344,-0.103318507554799
ชีพจร,15591,10550,red,-0.10841174295094477,-0.16705539926222326
ติสต์,15592,27775,red,-0.03227208602766399,0.20668061444626767
ตฺ,15593,20477,red,0.007761453860374864,0.2983746350037218
ทเทิร์น,15594,19396,red,-0.10087107699558745,0.04338955098672768
ทแยง,15595,41294,red,-0.11501910651278464,-0.1255121256051985
ธาตุเจดีย์,15596,11841,red,-0.13362636996738983,-0.0682876536968483
ธิติ,15597,41086,red,-0.04299517163475649,0.09864483346849943
บรรณ,15598,43885,red,0.034507207832056436,0.012296686051477265
ผือ,15599,10936,red,-0.057263460414488244,0.0851769072189527
ผู้ขับ,15600,31851,red,-0.09182095468376526,-0.02367358555981408
พนักงานต้อนรับ,15601,49091,red,-0.11039800840095866,0.006579273559970148
พระบรมราชินี,15602,9736,red,-0.0703614029406817,-0.02630275106107531
พัชรสุธาพิมลลักษณ,15603,8819,red,-0.04926260039445826,-0.01703858926105796
ภาษาพื้นเมือง,15604,31783,red,-0.053857184879808874,-0.0890086621705525
รับแขก,15605,13338,red,-0.10953962437999427,-0.11379461497096843
ริชมอนด์,15606,29167,red,-0.057577117380913624,0.09614516798983548
ลดฐานะ,15607,36371,red,-0.11154495932158803,-0.007880735186843442
ลูกเขย,15608,39628,red,-0.02775417676872944,0.005688192979695586
ลแบร์,15609,6672,red,-0.016230223640167966,0.13478534566968692
ว่ย์,15610,40942,red,-0.07349926901795678,0.03301325746333424
สถานที่เกิดเหตุ,15611,13757,red,-0.14183440547193038,-0.16211078719598512
สนาน,15612,14350,red,-0.09221262613853384,0.01659170433180128
สลุต,15613,13803,red,-0.14610479742702828,-0.04112310414870107
ส่งสินค้า,15614,7136,red,-0.19628242019336664,-0.14138399241627642
หย่าขาด,15615,23561,red,-0.10604372539491684,0.04379243098274596
อัตวิสัย,15616,5322,red,-0.10216327497774574,-0.25481327085557254
เคนทักกี,15617,43177,red,-0.026701451041042188,0.11265186477760047
เปี๊ยก,15618,4595,red,-0.07898330379306805,0.032379453651194386
เป็นไฟ,15619,13839,red,-0.10509791476343988,0.07290940996232083
เมจิก,15620,35273,red,-0.014254581347420203,0.1637984652896928
เม่า,15621,3795,red,-0.011661161886704224,0.06929591932151666
เอนเตอร์เทนเมนท์,15622,19451,red,-0.022478955221513754,0.1903015762697339
แจกัน,15623,5973,red,-0.050336849543665,-0.057285262431385174
โรงสี,15624,25563,red,-0.06541792975450432,-0.0977572222222905
กัลยาณี,15625,13396,red,-0.02811983789229843,0.13968592457456924
คฤหัสถ์,15626,1728,red,-0.10637628217784784,-0.16365413137457116
ความชื่นชม,15627,22492,red,-0.12742323017168689,-0.15504391306276538
คอนดักเตอร์,15628,27929,red,-0.0779733535487233,0.02397640295562164
คาสิโน,15629,31179,red,-0.15197030182796492,0.006232544489973197
คำนับ,15630,26317,red,-0.12067629261500964,-0.09137457099915473
คำปฏิญาณ,15631,11016,red,-0.10592278245604138,-0.11716859903911206
คู่อริ,15632,25541,red,-0.15902169076019224,-0.07381118468532998
